epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1153,2.2916,3.39836,4.86718,0.01671,5.42745,0.00035,0.10435,4e-05,1e-05,0.00054,0.16304,9e-05,2e-05,1.73972,2.66839,5.01581,0.01337,0,0.0002,0.0002,0.0002
2,119.967,1.89279,2.72231,4.47509,0.01295,4.81216,0.00283,0.84783,0.00634,0.00317,0.00283,0.84783,0.00657,0.00312,1.30298,2.54157,4.4316,0.00945,0,0.000411684,0.000411684,0.000411684
3,151.844,1.59335,2.16649,3.40923,0.00971,3.40277,0.00288,0.86304,0.00775,0.00404,0.00292,0.87609,0.00771,0.0039,1.3034,2.76061,4.2026,0.00943,0,0.000614656,0.000614656,0.000614656
4,183.899,1.55748,2.01426,2.69712,0.00933,2.187,0.00314,0.9413,0.04399,0.0309,0.00287,0.86087,0.05404,0.02563,1.32062,3.82201,4.0723,0.00918,0,0.000808916,0.000808916,0.000808916
5,216.096,1.55725,2.01236,2.3363,0.0096,1.60018,0.00317,0.95217,0.36212,0.18367,0.00277,0.83043,0.34626,0.1785,1.63749,4.32643,3.89644,0.01205,0,0.000994464,0.000994464,0.000994464
6,247.285,1.57401,2.01652,2.09984,0.00945,1.37354,0.8685,0.14358,0.39033,0.20379,0.8948,0.14793,0.4058,0.19795,1.51385,3.75494,3.69044,0.01074,0,0.0011713,0.0011713,0.0011713
7,280.439,1.61449,1.97266,1.89989,0.00959,1.23284,0.91885,0.29537,0.61788,0.35848,0.87827,0.28232,0.53924,0.26423,1.42676,5.6655,2.53047,0.01014,0,0.00133942,0.00133942,0.00133942
8,312.007,1.61119,1.96108,1.73459,0.00977,1.23117,0.80328,0.49348,0.65148,0.37117,0.80035,0.48803,0.63842,0.33395,1.51238,3.19014,2.03199,0.01126,0,0.00149884,0.00149884,0.00149884
9,344.702,1.61883,1.96554,1.68116,0.00965,1.19794,0.7959,0.54255,0.67857,0.37074,0.78031,0.52505,0.64318,0.35577,1.5612,2.79769,1.84901,0.01159,0,0.00164954,0.00164954,0.00164954
10,379.233,1.64545,1.97577,1.57897,0.00997,1.22972,0.72311,0.51094,0.60949,0.33062,0.72617,0.50155,0.5749,0.25596,1.5442,5.72787,1.85198,0.01128,0,0.0016436,0.0016436,0.0016436
11,416.128,1.60014,1.93688,1.48604,0.00977,1.15084,0.68875,0.56522,0.64001,0.37269,0.68317,0.53043,0.5925,0.31461,1.52743,4.28599,1.53436,0.01153,0,0.001604,0.001604,0.001604
12,450.386,1.5957,1.91932,1.41286,0.00968,1.16219,0.66967,0.56411,0.65293,0.36531,0.67388,0.55652,0.6384,0.35544,1.64471,3.0855,1.46473,0.01228,0,0.0015644,0.0015644,0.0015644
13,485.539,1.59326,1.89913,1.38364,0.00948,1.13528,0.6898,0.63696,0.70521,0.4103,0.66926,0.60706,0.66149,0.31661,1.5106,2.64329,1.33593,0.011,0,0.0015248,0.0015248,0.0015248
14,519.414,1.56694,1.85062,1.32744,0.00957,1.10464,0.71136,0.66087,0.72844,0.42104,0.69135,0.64764,0.70649,0.39472,1.53336,2.03533,1.26006,0.01175,0,0.0014852,0.0014852,0.0014852
15,553.861,1.54096,1.84422,1.2648,0.00921,1.05867,0.7459,0.74662,0.7897,0.42436,0.7443,0.72826,0.76845,0.40131,1.62639,2.1319,1.10437,0.01231,0,0.0014456,0.0014456,0.0014456
